[INBOARD]
#BOARD
1	11	127	234	30	6
#MUSHROOM CARD
2	171	158	24	30	6
#FIRE FLOWER CARD
3	202	158	24	30	6
#START MAN CARD
4	232	158	24	30	6
[FONT]
5	31	24	9	9	6
6	53	24	9	9	6
7	71	24	9	9	6
8	89	24	9	9	6
9	108	24	9	9	6
10	126	24	9	9	6
11	144	24	9	9	6
12	161	24	9	9	6
13	179	24	9	9	6
14	196	24	9	9	6
#FONT CHU
#A
15	214	24	9	9	6
#B
16	233	24	9	9	6
#C
17	31	39	9	9	6
#D
18	53	39	9	9	6
#E
19	71	39	9	9	6
#F
20	89	39	9	9	6
#G
21	108	39	9	9	6
#H
22	126	39	9	9	6
#I
23	144	39	9	9	6
#J
24	161	39	9	9	6
#K
25	179	38	9	9	6
#L
26	196	38	9	9	6
#M
27	214	39	9	9	6
#N
28	233	38	9	9	6
#O
29	31	55	9	9	6
#P
30	53	55	9	9	6
#Q
31	71	54	9	9	6
#R
32	89	54	9	9	6
#S
33	108	54	9	9	6
#T
34	126	54	9	9	6
#U
35	144	55	9	9	6
#V
36	161	55	9	9	6
#W
37	179	55	9	9	6
#X
38	196	54	9	9	6
#Y
39	214	55	9	9	6
#Z
40	233	55	9	9	6
# MANG MARIO (M TAG)
41	15	160	18	9	6
# ARROW WHITE
42	61	162	8	7	6
# ARROW BLACK
43	91	162	8	7	6
#P TAG WHITE
44	70	162	15	7	6
#P TAG BLACK
45	100	162	15	7	6
